Date,Revenue
Jan-2010,638225
Feb-2010,195890
Mar-2010,765141
Apr-2010,608695
May-2010,138251
Jun-2010,532659
Jul-2010,264510
Aug-2010,860226
Sep-2010,1116876
Oct-2010,190410
Nov-2010,766860
Dec-2010,785220
Jan-2011,130923
Feb-2011,-938647
Mar-2011,-583054
Apr-2011,772052
May-2011,631067
Jun-2011,650191
Jul-2011,560979
Aug-2011,460896
Sep-2011,-911670
Oct-2011,306044
Nov-2011,719297
Dec-2011,552467
Jan-2012,1174990
Feb-2012,287266
Mar-2012,125064
Apr-2012,560867
May-2012,729325
Jun-2012,649788
Jul-2012,297220
Aug-2012,812341
Sep-2012,530583
Oct-2012,823249
Nov-2012,496842
Dec-2012,-194686
Jan-2013,401539
Feb-2013,605121
Mar-2013,126775
Apr-2013,459581
May-2013,419962
Jun-2013,1136691
Jul-2013,529791
Aug-2013,226199
Sep-2013,444418
Oct-2013,-52404
Nov-2013,648982
Dec-2013,135073
Jan-2014,850331
Feb-2014,490377
Mar-2014,807208
Apr-2014,582311
May-2014,366270
Jun-2014,693271
Jul-2014,434341
Aug-2014,1091767
Sep-2014,180289
Oct-2014,-1035449
Nov-2014,681553
Dec-2014,300519
Jan-2015,1000729
Feb-2015,1045153
Mar-2015,-764294
Apr-2015,145003
May-2015,183841
Jun-2015,1017794
Jul-2015,967023
Aug-2015,-786728
Sep-2015,227066
Oct-2015,962133
Nov-2015,1190913
Dec-2015,-742477
Jan-2016,-61972
Feb-2016,773263
Mar-2016,229676
Apr-2016,462662
May-2016,-206623
Jun-2016,899871
Jul-2016,1067267
Aug-2016,799075
Sep-2016,1006365
Oct-2016,299261
Nov-2016,566435
Dec-2016,487291
Jan-2017,-645958
Feb-2017,482278
